observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2
1539.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1991.0,1991.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,North America,North America,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
6888.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1991.0,1991.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Europe,Europe,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
1525.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1991.0,1991.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Other Countries,Other Countries,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
9951.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1991.0,1991.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Total World,Total World,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
1707.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1992.0,1992.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,North America,North America,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
7802.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1992.0,1992.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Europe,Europe,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
1734.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1992.0,1992.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Other Countries,Other Countries,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
11243.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1992.0,1992.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Total World,Total World,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
2063.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1993.0,1993.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,North America,North America,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
8734.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1993.0,1993.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Europe,Europe,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
2175.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1993.0,1993.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Other Countries,Other Countries,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
12972.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1993.0,1993.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Total World,Total World,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
2033.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1994.0,1994.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,North America,North America,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
9832.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1994.0,1994.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Europe,Europe,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
2500.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1994.0,1994.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Other Countries,Other Countries,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
14365.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1994.0,1994.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Total World,Total World,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
2229.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1995.0,1995.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,North America,North America,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
10422.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1995.0,1995.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Europe,Europe,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
2736.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1995.0,1995.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Other Countries,Other Countries,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
15386.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1995.0,1995.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Total World,Total World,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
